Ano;Cod Mun;Espécie;Produção (Ton)
2024;1100304;Piau, piapara, piaucu, piava;0,48
2024;1100304;Pintado, cachara, cachapira, pintachara, surubim;18,78
2024;1100304;Pirapitinga;1,8
2024;1100304;Pirarucu;9,78
2024;1100304;Tambacu, tambatinga;8,98
2024;1100304;Tambaqui;281,529
2024;1100304;Tilapia;4,25
2024;1100304;Traira e trairao;0
2024;1100304;Truta;0
2024;1100304;Tucunare;0
2024;1100304;Outros peixes;0
2024;1100320;Carpa;0
2024;1100320;Curimata e Curimbata;0
2024;1100320;Dourado;0
2024;1100320;Jatuarana, piabanha e piracanjuba;0,815
2024;1100320;Lambari;0
2024;1100320;Matrinxa;0
2024;1100320;Pacu e patinga;1,58
2024;1100320;Piau, piapara, piaucu, piava;0
2024;1100320;Pintado, cachara, cachapira, pintachara, surubim;6,89
2024;1100320;Pirapitinga;0
2024;1100320;Pirarucu;2,78
2024;1100320;Tambacu, tambatinga;22,14
2024;1100320;Tambaqui;268,12
2024;1100320;Tilapia;1,68
2024;1100320;Traira e trairao;0
2024;1100320;Truta;0
2024;1100320;Tucunare;0
2024;1100320;Outros peixes;3,1
2024;1100338;Carpa;0,03
2024;1100338;Curimata e Curimbata;0,19
2024;1100338;Dourado;0
2024;1100338;Jatuarana, piabanha e piracanjuba;0,575
2024;1100338;Lambari;0
2024;1100338;Matrinxa;0
2024;1100338;Pacu e patinga;1,28
2024;1100338;Piau, piapara, piaucu, piava;0
2024;1100338;Pintado, cachara, cachapira, pintachara, surubim;9,529
2024;1100338;Pirapitinga;0,21
2024;1100338;Pirarucu;2,55
2024;1100338;Tambacu, tambatinga;12,36
2024;1100338;Tambaqui;420
2024;1100338;Tilapia;2,68
2024;1100338;Traira e trairao;0
2024;1100338;Truta;0
2024;1100338;Tucunare;0
2024;1100338;Outros peixes;0,85
2024;1100346;Carpa;0
2024;1100346;Curimata e Curimbata;0,22
2024;1100346;Dourado;0
2024;1100346;Jatuarana, piabanha e piracanjuba;0,2
2024;1100346;Lambari;0
2024;1100346;Matrinxa;0,41
2024;1100346;Pacu e patinga;2,987
2024;1100346;Piau, piapara, piaucu, piava;0,22
2024;1100346;Pintado, cachara, cachapira, pintachara, surubim;10,285
2024;1100346;Pirapitinga;0
2024;1100346;Pirarucu;4,32
2024;1100346;Tambacu, tambatinga;2,45
2024;1100346;Tambaqui;285,48
2024;1100346;Tilapia;3,45
2024;1100346;Traira e trairao;0
2024;1100346;Truta;0
2024;1100346;Tucunare;0
2024;1100346;Outros peixes;0
2024;1100379;Carpa;0,2
2024;1100379;Curimata e Curimbata;0
2024;1100379;Dourado;0
2024;1100379;Jatuarana, piabanha e piracanjuba;1,18
2024;1100379;Lambari;0
2024;1100379;Matrinxa;0
2024;1100379;Pacu e patinga;4,98
2024;1100379;Piau, piapara, piaucu, piava;1,75
2024;1100379;Pintado, cachara, cachapira, pintachara, surubim;17,881
2024;1100379;Pirapitinga;0,5
2024;1100379;Pirarucu;1,978
2024;1100379;Tambacu, tambatinga;2,58
2024;1100379;Tambaqui;518,86
2024;1100379;Tilapia;2,8
2024;1100379;Traira e trairao;0
2024;1100379;Truta;0
2024;1100379;Tucunare;0
2024;1100379;Outros peixes;0
2024;1100403;Carpa;0
2024;1100403;Curimata e Curimbata;0
2024;1100403;Dourado;0
2024;1100403;Jatuarana, piabanha e piracanjuba;0,197
2024;1100403;Lambari;0
2024;1100403;Matrinxa;0,378
2024;1100403;Pacu e patinga;2,85
2024;1100403;Piau, piapara, piaucu, piava;0,78
2024;1100403;Pintado, cachara, cachapira, pintachara, surubim;9,84
2024;1100403;Pirapitinga;0,21
2024;1100403;Pirarucu;6,78
2024;1100403;Tambacu, tambatinga;61,722
2024;1100403;Tambaqui;609,246
2024;1100403;Tilapia;2,885
2024;1100403;Traira e trairao;0
2024;1100403;Truta;0
2024;1100403;Tucunare;0
2024;1100403;Outros peixes;0
2024;1100452;Carpa;0
2024;1100452;Curimata e Curimbata;0
2024;1100452;Dourado;0
2024;1100452;Jatuarana, piabanha e piracanjuba;0,714
2024;1100452;Lambari;0
2024;1100452;Matrinxa;0,205
2024;1100452;Pacu e patinga;9,857
2024;1100452;Piau, piapara, piaucu, piava;1,458
2024;1100452;Pintado, cachara, cachapira, pintachara, surubim;32,112
2024;1100452;Pirapitinga;0
2024;1100452;Pirarucu;16,58
2024;1100452;Tambacu, tambatinga;71,65
2024;1100452;Tambaqui;735,45
2024;1100452;Tilapia;10,225
2024;1100452;Traira e trairao;0
2024;1100452;Truta;0
2024;1100452;Tucunare;0
2024;1100452;Outros peixes;0
2024;1100502;Carpa;0
2024;1100502;Curimata e Curimbata;0
2024;1100502;Dourado;0
2024;1100502;Jatuarana, piabanha e piracanjuba;0,785
2024;1100502;Lambari;0
2024;1100502;Matrinxa;0
2024;1100502;Pacu e patinga;1,97
2024;1100502;Piau, piapara, piaucu, piava;0,48
2024;1100502;Pintado, cachara, cachapira, pintachara, surubim;5,334
2024;1100502;Pirapitinga;0
2024;1100502;Pirarucu;1,62
2024;1100502;Tambacu, tambatinga;0
2024;1100502;Tambaqui;320,215
2024;1100502;Tilapia;2,2
2024;1100502;Traira e trairao;0
2024;1100502;Truta;0
2024;1100502;Tucunare;0
2024;1100502;Outros peixes;0
2024;1100601;Carpa;0,098
2024;1100601;Curimata e Curimbata;0,082
2024;1100601;Dourado;0
2024;1100601;Jatuarana, piabanha e piracanjuba;1,78
2024;1100601;Lambari;0
2024;1100601;Matrinxa;0
2024;1100601;Pacu e patinga;2,48
2024;1100601;Piau, piapara, piaucu, piava;0
2024;1100601;Pintado, cachara, cachapira, pintachara, surubim;8,78
2024;1100601;Pirapitinga;0
2024;1100601;Pirarucu;61,129
2024;1100601;Tambacu, tambatinga;173,2
2024;1100601;Tambaqui;2235,42
2024;1100601;Tilapia;2,87
2024;1100601;Traira e trairao;0
2024;1100601;Truta;0
2024;1100601;Tucunare;0
2024;1100601;Outros peixes;0
2024;1100700;Carpa;0
2024;1100700;Curimata e Curimbata;0
2024;1100700;Dourado;0
2024;1100700;Jatuarana, piabanha e piracanjuba;0,18
2024;1100700;Lambari;0
2024;1100700;Matrinxa;0
2024;1100700;Pacu e patinga;1,45
2024;1100700;Piau, piapara, piaucu, piava;1,28
2024;1100700;Pintado, cachara, cachapira, pintachara, surubim;13,54
2024;1100700;Pirapitinga;0,415
2024;1100700;Pirarucu;3
2024;1100700;Tambacu, tambatinga;122,58
2024;1100700;Tambaqui;1221,02
